Most Common Surnames,,,,,,,
,,,,,,,
"Surnames occurring most often in Scotland's registers of Births, Marriages and Deaths",,,,,,,
,,,,,,,
Counting only:,,,,,,,
(a)  the surname of the CHILD for births,,,,,,,
"(b)  the surnames of BOTH PARTIES (e.g. both BRIDE and GROOM) for marriages, and ",,,,,,,
(c)  the surname of the DECEASED for deaths.,,,,,,,
,,,,,,,
"Note: the surnames from these registers may not be representative of the surnames of the population of Scotland as a whole, as ",,,,,,,
(a) they include the surnames of non-residents who were born / married / died here; ,,,,,,,
(b) they exclude the surnames of residents who were born / married / died elsewhere; and ,,,,,,,
"(c) some age-groups have very low birth, marriage and death rates; others account for most births, marriages and deaths. ",,,,,,,
,,,,,,,
Registration Year = 2019,,,,,,,
,,,,,,,
Position,Surname,Number,,,,,
152=,RENNIE,153,,,,,
154=,MCCULLOCH,152,,,,,
154=,TAIT,152,,,,,
156=,ALI,150,,,,,
156=,WEIR,150,,,,,
158,MOFFAT,148,,,,,
159,COLLINS,147,,,,,
160,BARR,145,,,,,
161,BLAIR,144,,,,,
162,LAWSON,141,,,,,
163=,LAING,140,,,,,
163=,MCEWAN,140,,,,,
163=,MURDOCH,140,,,,,
163=,WELSH,140,,,,,
167=,CLARKE,139,,,,,
167=,FISHER,139,,,,,
167=,FORSYTH,139,,,,,
167=,HARRIS,139,,,,,
171=,BAIRD,138,,,,,
171=,BARCLAY,138,,,,,
171=,MCKENNA,138,,,,,
174,JACK,137,,,,,
175=,LYNCH,136,,,,,
175=,THOMAS,136,,,,,
177,DRUMMOND,135,,,,,
178=,DONNELLY,133,,,,,
178=,INNES,133,,,,,
180=,LEE,132,,,,,
180=,LOGAN,132,,,,,
180=,MCALLISTER,132,,,,,
180=,MCGOWAN,132,,,,,
180=,MONTGOMERY,132,,,,,
185=,GILLESPIE,131,,,,,
185=,MCMAHON,131,,,,,
185=,SINGH,131,,,,,
185=,TURNBULL,131,,,,,
189,AHMED,130,,,,,
190,HARVEY,129,,,,,
191=,O'BRIEN,128,,,,,
191=,PARK,128,,,,,
193=,NELSON,127,,,,,
193=,WEBSTER,127,,,,,
195=,DONALD,126,,,,,
195=,HOGG,126,,,,,
195=,MACPHERSON,126,,,,,
195=,SPENCE,126,,,,,
199=,BENNETT,124,,,,,
199=,COCHRANE,124,,,,,
199=,GILMOUR,124,,,,,
199=,MORTON,124,,,,,
199=,POLLOCK,124,,,,,
199=,STEPHEN,124,,,,,
205=,HENDRY,123,,,,,
205=,MASON,123,,,,,
205=,MCARTHUR,123,,,,,
208=,HARRISON,121,,,,,
208=,ROBB,121,,,,,
210,INGLIS,120,,,,,
211=,BAILLIE,119,,,,,
211=,SHARP,119,,,,,
211=,SNEDDON,119,,,,,
214=,CUMMING,118,,,,,
214=,GREIG,118,,,,,
214=,ORR,118,,,,,
214=,PHILLIPS,118,,,,,
218=,HIGGINS,117,,,,,
218=,PATTERSON,117,,,,,
220=,MCGUIRE,116,,,,,
220=,SWEENEY,116,,,,,
222=,EDWARDS,115,,,,,
222=,MACFARLANE,115,,,,,
222=,MULLEN,115,,,,,
222=,SHIELDS,115,,,,,
226=,BAXTER,114,,,,,
226=,FALCONER,114,,,,,
226=,TODD,114,,,,,
229=,ADAM,113,,,,,
229=,KHAN,113,,,,,
229=,NOBLE,113,,,,,
232=,COWIE,112,,,,,
232=,GIBB,112,,,,,
232=,LAIRD,112,,,,,
235,ELLIS,111,,,,,
236=,DOWNIE,110,,,,,
236=,STEELE,110,,,,,
238=,DICK,109,,,,,
238=,MCCANN,109,,,,,
238=,STIRLING,109,,,,,
241=,CARR,108,,,,,
241=,CONNELLY,108,,,,,
241=,DAVIS,108,,,,,
241=,MCPHERSON,108,,,,,
245=,FORREST,107,,,,,
245=,WOODS,107,,,,,
247,LITTLE,106,,,,,
248=,ADAMSON,105,,,,,
248=,GALLOWAY,105,,,,,
248=,GARDNER,105,,,,,
248=,HARPER,105,,,,,
252=,LAW,104,,,,,
252=,MAIN,104,,,,,
252=,MCDOUGALL,104,,,,,
252=,MILLIGAN,104,,,,,
256=,MCCORMICK,103,,,,,
256=,MCGHEE,103,,,,,
258=,DAWSON,102,,,,,
258=,HOWIE,102,,,,,
258=,LESLIE,102,,,,,
258=,MACKINNON,102,,,,,
258=,MCCABE,102,,,,,
258=,MCNEILL,102,,,,,
264,RANKIN,101,,,,,
265=,LANG,100,,,,,
265=,MCBRIDE,100,,,,,
265=,SHEPHERD,100,,,,,
268=,ALLEN,99,,,,,
268=,MCPHEE,99,,,,,
270=,CRUICKSHANK,98,,,,,
270=,LEWIS,98,,,,,
270=,MILLS,98,,,,,
270=,NICHOLSON,98,,,,,
270=,REYNOLDS,98,,,,,
275=,ALLISON,97,,,,,
275=,DOHERTY,97,,,,,
275=,DUFF,97,,,,,
275=,HOUSTON,97,,,,,
275=,RUTHERFORD,97,,,,,
280=,DUNLOP,96,,,,,
280=,KNOX,96,,,,,
282=,BRADLEY,95,,,,,
282=,BURNETT,95,,,,,
282=,PARKER,95,,,,,
285=,CHAPMAN,94,,,,,
285=,HART,94,,,,,
285=,NICOLSON,94,,,,,
285=,PORTER,94,,,,,
289=,DEVINE,93,,,,,
289=,DEVLIN,93,,,,,
289=,GARDINER,93,,,,,
289=,LOW,93,,,,,
289=,MAIR,93,,,,,
289=,URQUHART,93,,,,,
295=,GEDDES,92,,,,,
295=,STEEL,92,,,,,
297=,COX,91,,,,,
297=,GUNN,91,,,,,
297=,KIRK,91,,,,,
297=,MCCORMACK,91,,,,,
297=,MCGILL,91,,,,,
