Id,Name,Type,Rate,Total,Order
188,Waylon,M,3429,1227747,230
189,Allison,F,3424,1231171,943
190,Gianna,F,3408,1234579,774
191,Serenity,F,3405,1237984,172
192,Samantha,F,3351,1241335,491
193,Ayden,M,3345,1244680,426
194,Vincent,M,3336,1248016,440
195,Ryder,M,3295,1251311,668
196,Sarah,F,3287,1254598,454
197,Autumn,F,3261,1257859,355
198,Kingston,M,3246,1261105,469
199,Rowan,M,3204,1264309,394
200,Quinn,F,3191,1267500,900
201,George,M,3175,1270675,898
202,Luis,M,3174,1273849,468
203,Eva,F,3165,1277014,347
204,Piper,F,3164,1280178,404
205,Sophie,F,3159,1283337,671
206,Chase,M,3152,1286489,323
207,Sadie,F,3145,1289634,868
208,Delilah,F,3133,1292767,659
209,Josephine,F,3087,1295854,368
210,Nevaeh,F,3080,1298934,56
211,Cole,M,3077,1302011,346
212,Nathaniel,M,3072,1305083,217
213,Zachary,M,3064,1308147,995
214,Adeline,F,3058,1311205,128
215,Arya,F,3043,1314248,51
216,Ashton,M,3027,1317275,682
217,Braxton,M,3003,1320278,390
218,Gavin,M,3002,1323280,787
219,Emery,F,2997,1326277,273
220,Tyler,M,2995,1329272,815
221,Lydia,F,2985,1332257,467
222,Diego,M,2973,1335230,349
223,Bentley,M,2951,1338181,804
224,Amir,M,2948,1341129,806
225,Clara,F,2929,1344058,801
226,Beau,M,2912,1346970,36
227,Vivian,F,2911,1349881,532
228,Gael,M,2891,1352772,200
229,Madeline,F,2849,1355621,420
230,Peyton,F,2848,1358469,676
231,Carlos,M,2832,1361301,555
232,Ryker,M,2800,1364101,629
233,Julia,F,2775,1366876,923
234,Jasper,M,2774,1369650,766
235,Rylee,F,2766,1372416,462
236,Brielle,F,2755,1375171,455
237,Reagan,F,2744,1377915,709
238,Max,M,2735,1380650,334
239,Natalia,F,2721,1383371,135
240,Jade,F,2703,1386074,295
241,Athena,F,2702,1388776,344
242,Maria,F,2700,1391476,781
243,Juan,M,2691,1394167,520
244,Leilani,F,2685,1396852,97
245,Ivan,M,2680,1399532,457
246,Brandon,M,2671,1402203,974
247,Jonah,M,2666,1404869,978
248,Giovanni,M,2646,1407515,838
249,Kaiden,M,2635,1410150,501
250,Myles,M,2634,1412784,839
251,Calvin,M,2630,1415414,970
252,Lorenzo,M,2630,1418044,825
253,Maxwell,M,2617,1420661,847
254,Jayce,M,2611,1423272,13
255,Kevin,M,2610,1425882,754
256,Everleigh,F,2607,1428489,545
257,Liliana,F,2583,1431072,546
258,Melanie,F,2582,1433654,908
259,Mackenzie,F,2571,1436225,550
260,Hadley,F,2562,1438787,246
261,Legend,M,2556,1441343,385
262,Raelynn,F,2556,1443899,711
263,Tristan,M,2554,1446453,517
264,Jesus,M,2530,1448983,222
265,Kaylee,F,2528,1451511,713
266,Jude,M,2527,1454038,593
267,Zion,M,2524,1456562,853
268,Justin,M,2516,1459078,919
269,Rose,F,2507,1461585,634
270,Arianna,F,2495,1464080,141
271,Isabelle,F,2489,1466569,508
272,Maddox,M,2463,1469032,981
273,Abel,M,2453,1471485,927
274,King,M,2450,1473935,692
275,Melody,F,2444,1476379,85
276,Camden,M,2442,1478821,513
277,Eliza,F,2436,1481257,248
278,Elliott,M,2435,1483692,374
279,Lyla,F,2435,1486127,119
280,Katherine,F,2431,1488558,509
281,Malachi,M,2419,1490977,564
282,Milo,M,2416,1493393,782
283,Emmanuel,M,2410,1495803,775
284,Karter,M,2407,1498210,410
285,Rhett,M,2378,1500588,324
286,Alex,M,2376,1502964,585
287,August,M,2366,1505330,990
288,River,M,2349,1507679,654
289,Aubree,F,2326,1510005,738
290,Xander,M,2323,1512328,907
291,Adalynn,F,2318,1514646,690
292,Antonio,M,2279,1516925,471
293,Kylie,F,2244,1519169,459
294,Faith,F,2243,1521412,958
295,Brody,M,2234,1523646,680
296,Finn,M,2233,1525879,325
297,Elliot,M,2228,1528107,138
298,Dean,M,2211,1530318,674
299,Mary,F,2209,1532527,202
300,Emiliano,M,2200,1534727,196
301,Margaret,F,2199,1536926,163
302,Eric,M,2187,1539113,595
303,Ximena,F,2180,1541293,727
304,Iris,F,2179,1543472,697
305,Miguel,M,2176,1545648,797
306,Arthur,M,2173,1547821,497
307,Matteo,M,2148,1549969,328
308,Graham,M,2140,1552109,318
309,Alan,M,2136,1554245,158
310,Nicolas,M,2134,1556379,880
311,Blake,M,2132,1558511,240
312,Thiago,M,2131,1560642,707
313,Alexandra,F,2122,1562764,915
314,Adriel,M,2119,1564883,879
315,Jasmine,F,2092,1566975,480
316,Victor,M,2088,1569063,871
317,Joel,M,2079,1571142,743
318,Timothy,M,2069,1573211,64
319,Charlie,F,2067,1575278,935
320,Hayden,M,2053,1577331,761
321,Amaya,F,2045,1579376,211
322,Taylor,F,2042,1581418,37
323,Judah,M,2041,1583459,578
324,Abraham,M,2039,1585498,821
325,Isabel,F,2038,1587536,505
326,Edward,M,2037,1589573,602
327,Messiah,M,2021,1591594,731
328,Ashley,F,2019,1593613,918
329,Khloe,F,2015,1595628,796
330,Zayden,M,2009,1597637,715
331,Ryleigh,F,2005,1599642,377
332,Theo,M,2002,1601644,299
333,Tucker,M,2000,1603644,771
334,Alexa,F,1995,1605639,605
335,Amara,F,1982,1607621,376
336,Valeria,F,1976,1609597,223
337,Andrea,F,1975,1611572,34
338,Grant,M,1975,1613547,308
339,Richard,M,1969,1615516,392
340,Norah,F,1965,1617481,619
341,Alejandro,M,1963,1619444,425
342,Steven,M,1962,1621406,69
343,Jesse,M,1947,1623353,26
344,Dawson,M,1945,1625298,894
345,Eden,F,1943,1627241,113
346,Elliana,F,1943,1629184,678
347,Bryce,M,1936,1631120,109
348,Brianna,F,1918,1633038,607
349,Emersyn,F,1909,1634947,413
350,Valerie,F,1888,1636835,194
351,Anastasia,F,1886,1638721,618
352,Eloise,F,1883,1640604,250
353,Oscar,M,1882,1642486,650
354,Patrick,M,1870,1644356,19
355,Archer,M,1867,1646223,381
356,Barrett,M,1859,1648082,25
357,Emerson,F,1853,1649935,587
358,Leon,M,1853,1651788,802
359,Cecilia,F,1848,1653636,298
360,Remi,F,1848,1655484,4
361,Josie,F,1846,1657330,134
362,Colt,M,1826,1659156,322
363,Alina,F,1824,1660980,204
364,Reese,F,1811,1662791,110
365,Bailey,F,1810,1664601,389
366,Lucia,F,1804,1666405,716
367,Peter,M,1799,1668204,87
368,Adalyn,F,1793,1669997,461
369,Kaleb,M,1777,1671774,886
370,Lukas,M,1777,1673551,983
371,Beckett,M,1764,1675315,45
372,Jeremy,M,1754,1677069,635
373,Molly,F,1744,1678813,863
374,Ayla,F,1734,1680547,721
375,Preston,M,1734,1682281,646
376,Sara,F,1731,1684012,15
377,Daisy,F,1726,1685738,256
378,London,F,1716,1687454,129
